station,date,reserve,min,max,planned,plan_percent,completance,coal_type,delivery,spending,days,station_id,latitude,longitude,owner,spending_a_jan2016,spending_p_jan2016,spending_g_jan2016
Придніпровська ТЕС,2018-01-31,25,-75.402,100.0,100,25,-75,антрацит,1.67,0.429,58,n,48.403499,35.118088,"ДТЕК, Рінат Ахметов",4.7,0.0,0.0
Придніпровська ТЕС,2018-01-31,25,-15.085999999999999,40.0,96,26,-71,газове,3.709,2.573,10,n,48.403499,35.118088,"ДТЕК, Рінат Ахметов",4.7,0.0,0.0
Придніпровська ТЕС,2017-12-20,33,100.0,205.0,69,48,-36,антрацит,1.322,0.0,0,n,48.403499,35.118088,"ДТЕК, Рінат Ахметов",4.7,0.0,0.0
Придніпровська ТЕС,2017-12-20,67,40.0,205.0,70,96,-3,газове,7.371,2.5,27,n,48.403499,35.118088,"ДТЕК, Рінат Ахметов",4.7,0.0,0.0
Придніпровська ТЕС,2017-09-27,49,80.0,410.0,241,20,-192,антрацит,1.174,1.095,45,n,48.403499,35.118088,"ДТЕК, Рінат Ахметов",4.7,0.0,0.0
Придніпровська ТЕС,2018-04-02,15,-85.381,100.0,20,75,-5,антрацит,0.0,0.746,20,n,48.403499,35.118088,"ДТЕК, Рінат Ахметов",4.7,0.0,0.0
Придніпровська ТЕС,2018-04-02,57,16.884999999999998,40.0,83,69,-26,газове,6.762,1.71,33,n,48.403499,35.118088,"ДТЕК, Рінат Ахметов",4.7,0.0,0.0
Придніпровська ТЕС,2017-09-28,49,80.0,410.0,244,20,-195,антрацит,0.0,0.0,0,n,48.403499,35.118088,"ДТЕК, Рінат Ахметов",4.7,0.0,0.0
Придніпровська ТЕС,2018-03-06,18,-82.07300000000001,100.0,97,19,-79,антрацит,0.0,1.47,12,n,48.403499,35.118088,"ДТЕК, Рінат Ахметов",4.7,0.0,0.0
Придніпровська ТЕС,2018-03-06,37,-2.703000000000003,40.0,106,35,-69,газове,2.863,1.624,23,n,48.403499,35.118088,"ДТЕК, Рінат Ахметов",4.7,0.0,0.0
Придніпровська ТЕС,2018-03-12,18,-82.07300000000001,100.0,93,19,-75,антрацит,0.0,0.0,0,n,48.403499,35.118088,"ДТЕК, Рінат Ахметов",4.7,0.0,0.0
Придніпровська ТЕС,2018-03-12,40,-0.3200000000000003,40.0,107,37,-67,газове,0.0,2.495,16,n,48.403499,35.118088,"ДТЕК, Рінат Ахметов",4.7,0.0,0.0
Придніпровська ТЕС,2018-04-04,14,-86.13,100.0,20,70,-6,антрацит,0.0,0.483,29,n,48.403499,35.118088,"ДТЕК, Рінат Ахметов",4.7,0.0,0.0
